timestamp,datetime,cpu_temp,vulcan_s1_temp,vulcan_s2_temp
1766486117.2075543,2025-12-23 18:35:17,79.0,59.0,59.7
1766486128.266887,2025-12-23 18:35:28,79.0,59.0,59.7
1766486139.0122087,2025-12-23 18:35:39,80.0,59.0,59.7
1766486147.785508,2025-12-23 18:35:47,80.0,59.0,59.7
1766486158.034087,2025-12-23 18:35:58,79.0,59.0,59.7
1766486169.2361948,2025-12-23 18:36:09,79.0,59.0,59.7
1766486181.8823576,2025-12-23 18:36:21,79.0,59.0,59.7
1766486195.1039846,2025-12-23 18:36:35,82.0,59.0,59.5
1766486205.3368526,2025-12-23 18:36:45,80.0,59.0,59.7
1766486217.0986898,2025-12-23 18:36:57,82.0,59.0,59.7
1766486231.0583012,2025-12-23 18:37:11,80.0,59.0,59.5
1766486240.6975894,2025-12-23 18:37:20,80.0,59.0,59.5
1766486252.5169816,2025-12-23 18:37:32,80.0,59.0,59.7
1766486261.2192779,2025-12-23 18:37:41,79.0,59.0,59.5
1766486272.7712767,2025-12-23 18:37:52,80.0,59.0,59.5
1766486284.4240456,2025-12-23 18:38:04,75.0,59.0,59.5
1766486297.168428,2025-12-23 18:38:17,82.0,59.0,59.5
1766486307.476639,2025-12-23 18:38:27,80.0,59.0,59.5
1766486318.5273516,2025-12-23 18:38:38,80.0,59.0,59.5
1766486328.1719468,2025-12-23 18:38:48,82.0,59.0,59.5
1766486337.8480074,2025-12-23 18:38:57,80.0,59.0,59.5
1766486350.576271,2025-12-23 18:39:10,80.0,59.0,59.5
1766486362.2456245,2025-12-23 18:39:22,80.0,59.0,59.5
1766486373.2748184,2025-12-23 18:39:33,82.0,59.0,59.5
1766486385.0453205,2025-12-23 18:39:45,82.0,59.0,59.5
1766486396.0535133,2025-12-23 18:39:56,80.0,59.0,59.5
1766486406.2588665,2025-12-23 18:40:06,80.0,59.0,59.5
1766486417.6287985,2025-12-23 18:40:17,82.0,59.0,59.5
1766486427.6568465,2025-12-23 18:40:27,80.0,59.0,59.5
1766486437.140431,2025-12-23 18:40:37,83.0,59.0,59.5
1766486449.2349768,2025-12-23 18:40:49,82.0,59.0,59.5
1766486458.5618603,2025-12-23 18:40:58,80.0,59.0,59.5
1766486469.0265749,2025-12-23 18:41:09,82.0,59.0,59.5
1766486479.977704,2025-12-23 18:41:19,82.0,59.0,59.5
1766486489.9292397,2025-12-23 18:41:29,80.0,59.0,59.5
1766486500.2483501,2025-12-23 18:41:40,80.0,59.0,59.5
1766486512.0822837,2025-12-23 18:41:52,83.0,59.0,59.5
1766486523.3013382,2025-12-23 18:42:03,80.0,59.0,59.5
1766486533.0479908,2025-12-23 18:42:13,83.0,59.0,59.5
1766486545.42977,2025-12-23 18:42:25,80.0,59.0,59.5
1766486556.1600423,2025-12-23 18:42:36,80.0,59.0,59.5
1766486567.117821,2025-12-23 18:42:47,80.0,59.0,59.5
1766486573.3968725,2025-12-23 18:42:53,82.0,59.0,59.5
1766486586.152035,2025-12-23 18:43:06,82.0,59.0,59.5
1766486597.1680996,2025-12-23 18:43:17,82.0,59.0,59.5
1766486608.7776957,2025-12-23 18:43:28,82.0,59.0,59.5
1766486617.9528463,2025-12-23 18:43:37,82.0,59.0,59.5
